Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2724,"KG Liakos, P Busato, D Moshou, S Pearson, D Bochtis","Machine learning in agriculture: A review",2018,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/18/8/2674","https://scholar.google.com/scholar?cites=13745638027545447644&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-03 23:59:31","HTML","","","",,,,,2724,454.00,545,5,6,"… dedicated to applications of machine learning in agricultural production systems. The works … agriculture will benefit from machine learning technologies. By applying machine learning to …","https://www.mdpi.com/1424-8220/18/8/2674","https://scholar.google.com/scholar?q=related:3IzyYvVQwr4J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
566,"L Benos, AC Tagarakis, G Dolias, R Berruto, D Kateris…","Machine learning in agriculture: A comprehensive updated review",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/11/3758","https://scholar.google.com/scholar?cites=8345549894202501243&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-03 23:59:31","HTML","","","",,,,,566,188.67,94,6,3,"… , namely machine learning, has a … light on machine learning in agriculture by thoroughly reviewing the recent scholarly literature based on keywords’ combinations of “machine learning” …","https://www.mdpi.com/1424-8220/21/11/3758","https://scholar.google.com/scholar?q=related:eyg9g2lZ0XMJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
290,"V Meshram, K Patil, V Meshram, D Hanchate…","Machine learning in agriculture domain: A state-of-art survey",2021,"Artificial Intelligence in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2667318521000106","https://scholar.google.com/scholar?cites=7417941402466441218&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-03 23:59:31","HTML","","","",,,,,290,96.67,58,5,3,"… Machine learning is the current technology which is benefiting … of latest machine learning application in agriculture to alleviate … Application of machine learning in agriculture allows more …","https://www.sciencedirect.com/science/article/pii/S2667318521000106","https://scholar.google.com/scholar?q=related:AtisUmfS8WYJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
60,"ST Jagtap, K Phasinam, T Kassanuk, SS Jha…","Towards application of various machine learning techniques in agriculture",2022,"Materials Today …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214785321046162","https://scholar.google.com/scholar?cites=8390929964007426851&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-03 23:59:31","","","","",,,,,60,30.00,12,5,2,"… comprehensive review of machine learning algorithms applicable in the area of agriculture. This … This paper provides a review of various machine learning-based algorithms that can be …","https://www.researchgate.net/profile/Tanmay-Ghosh-2/publication/352765918_Towards_application_of_various_machine_learning_techniques_in_agriculture/links/64573f8897449a0e1a805bd6/Towards-application-of-various-machine-learning-techniques-in-agriculture.pdf","https://scholar.google.com/scholar?q=related:IwvYX1iScnQJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
231,"RJ McQueen, SR Garner, CG Nevill-Manning…","Applying machine learning to agricultural data",1995,"… electronics in agriculture","Elsevier","https://www.sciencedirect.com/science/article/pii/0168169995986019","https://scholar.google.com/scholar?cites=4332959603385772203&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-03 23:59:31","","","","",,,,,231,7.97,58,4,29,"… This paper explores what machine learning can do in the agricultural domain. We begin … problems in applying machine learning is that it is hard to acquire a variety of learning tools and …","https://researchcommons.waikato.ac.nz/bitstream/handle/10289/1142/uow-cs-wp-1994-13.pdf?sequence=1","https://scholar.google.com/scholar?q=related:qyjtYc3DITwJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
199,"H Pallathadka, M Mustafa, DT Sanchez…","Impact of machine learning on management, healthcare and agriculture",2023,"Materials Today …","Elsevier","https://www.sciencedirect.com/science/article/pii/S221478532104894X","https://scholar.google.com/scholar?cites=13758847820884386087&as_sdt=2005&sciodt=2007&hl=en",6,"2024-11-03 23:59:31","","","","",,,,,199,199.00,50,4,1,"… maintaining l Deep learning and machine learning are two of the … Machine learning models for the complexity and diversity of … of machine learning and artificial intelligence in agriculture, …","https://www.researchgate.net/profile/Harikumar-Pallathadka/publication/353400173_IMPACT_OF_MACHINE_learning_ON_Management_Healthcare_AND_AGRICULTURE/links/60fa46bf1e95fe241a810ea4/IMPACT-OF-MACHINE-learning-ON-Management-Healthcare-AND-AGRICULTURE.pdf","https://scholar.google.com/scholar?q=related:J6F4EjI_8b4J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
739,"A Sharma, A Jain, P Gupta, V Chowdary","Machine learning applications for precision agriculture: A comprehensive review",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9311735/","https://scholar.google.com/scholar?cites=6877688942118297413&as_sdt=2005&sciodt=2007&hl=en",7,"2024-11-03 23:59:31","","","","",,,,,739,184.75,185,4,4,"… to address current challenges in agricultural sustainability. The mechanism that drives this cutting edge technology is machine learning (ML). It gives the machine ability to learn without …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09311735.pdf","https://scholar.google.com/scholar?q=related:Rd-XPqd1cl8J:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
23,"S Veeragandham, H Santhi","A review on the role of machine learning in agriculture",2020,"Scalable Computing: Practice and …","scpe.org","https://scpe.org/index.php/scpe/article/view/1699","https://scholar.google.com/scholar?cites=1917341176884385537&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-03 23:59:31","","","","",,,,,23,5.75,12,2,4,"… The use of machine learning in agriculture helps to increase … on various machine learning approaches proposed in the past … machine learning algorithms used in the modern agricultural …","https://scpe.org/index.php/scpe/article/download/1699/664","https://scholar.google.com/scholar?q=related:AVdsUaTDmxoJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
221,"H Storm, K Baylis, T Heckelei","Machine learning in agricultural and applied economics",2020,"European Review of Agricultural …","academic.oup.com","https://academic.oup.com/erae/article-abstract/47/3/849/5552525","https://scholar.google.com/scholar?cites=4998889161236605715&as_sdt=2005&sciodt=2007&hl=en",9,"2024-11-03 23:59:31","","","","",,,,,221,55.25,74,3,4,"This review presents machine learning (ML) approaches from an applied economist’s perspective. We first introduce the key ML methods drawing connections to econometric practice. …","https://academic.oup.com/erae/article/47/3/849/5552525","https://scholar.google.com/scholar?q=related:E-sO9zSfX0UJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
12,"A Mirani, MS Memon, R Chohan, AA Wagan…","Machine learning in agriculture: A review",2021,"LUME","researchgate.net","https://www.researchgate.net/profile/Engr-Dr-Muhammad-Suleman-Memon/publication/351766285_Machine_Learning_In_Agriculture_A_Review/links/60a83aae45851522bc0a5479/Machine-Learning-In-Agriculture-A-Review.pdf","https://scholar.google.com/scholar?cites=7727313786642942482&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-03 23:59:31","PDF","","","",,,,,12,4.00,2,5,3,"… In agricultural science crop yield prediction is a major area of study to make … the agricultural crop. This study highlights the Evaluation, applications, and challenges of machine learning …","https://www.researchgate.net/profile/Engr-Dr-Muhammad-Suleman-Memon/publication/351766285_Machine_Learning_In_Agriculture_A_Review/links/60a83aae45851522bc0a5479/Machine-Learning-In-Agriculture-A-Review.pdf","https://scholar.google.com/scholar?q=related:EsrUqPLuPGsJ:scholar.google.com/&scioq=machine+learning+in+agriculture&hl=en&as_sdt=2007"
